	Training CV Accuracy	Testing Accuracy
0	0.7266086956521739	0.55
1	0.7099130434782609	0.5
2	0.727304347826087	0.525
3	0.7092173913043478	0.675
4	0.6925217391304348	0.525
5	0.7259130434782608	0.7
6	0.7085217391304347	0.625
7	0.7179130434782609	0.675
8	0.7339130434782608	0.6
9	0.7172173913043478	0.575
10	0.7172173913043478	0.55
11	0.7245217391304347	0.5
12	0.6925217391304348	0.625
13	0.7099130434782608	0.65
14	0.7099130434782609	0.6
15	0.6671304347826086	0.675
16	0.6671304347826087	0.7
17	0.726608695652174	0.7
18	0.743304347826087	0.55
19	0.6845217391304347	0.6
20	0.7085217391304348	0.675
21	0.752695652173913	0.475
22	0.7259130434782608	0.675
23	0.712	0.55
24	0.6998260869565218	0.675
25	0.717913043478261	0.6
26	0.744	0.525
27	0.7012173913043479	0.675
28	0.7092173913043478	0.625
29	0.7259130434782609	0.7
30	0.7099130434782608	0.55
31	0.7165217391304347	0.625
32	0.7099130434782609	0.65
33	0.726608695652174	0.55
34	0.6925217391304347	0.55
35	0.7259130434782608	0.7
36	0.726608695652174	0.525
37	0.760695652173913	0.525
38	0.6984347826086956	0.6
39	0.6838260869565218	0.7
40	0.6911304347826086	0.5
41	0.6918260869565217	0.675
42	0.7099130434782609	0.525
43	0.7346086956521739	0.65
