	Training CV Accuracy	Testing Accuracy
0	0.7101449275362319	0.7
1	0.6757246376811594	0.675
2	0.7101449275362319	0.625
3	0.6670289855072463	0.65
4	0.7257246376811594	0.425
5	0.7003623188405796	0.425
6	0.7184782608695652	0.7
7	0.7268115942028984	0.625
8	0.6931159420289854	0.675
9	0.7101449275362318	0.7
10	0.6934782608695652	0.525
11	0.6746376811594204	0.575
12	0.7257246376811594	0.675
13	0.6931159420289854	0.625
14	0.7173913043478262	0.425
15	0.7184782608695652	0.675
16	0.7181159420289854	0.65
17	0.7101449275362319	0.625
18	0.7275362318840579	0.675
19	0.726449275362319	0.575
20	0.7105072463768115	0.625
21	0.6757246376811594	0.725
22	0.7340579710144928	0.55
23	0.7358695652173912	0.6
