	Training CV Accuracy	Testing Accuracy
0	0.7266086956521739	0.55
1	0.7099130434782609	0.5
2	0.727304347826087	0.525
3	0.7092173913043478	0.675
4	0.6925217391304348	0.525
5	0.7259130434782608	0.7
6	0.7085217391304347	0.625
7	0.7179130434782609	0.675
8	0.7339130434782608	0.6
9	0.7172173913043478	0.575
10	0.7172173913043478	0.55
11	0.7245217391304347	0.5
12	0.6925217391304348	0.625
13	0.7099130434782608	0.65
14	0.7099130434782609	0.6
15	0.6671304347826086	0.675
16	0.6671304347826087	0.7
17	0.726608695652174	0.7
18	0.743304347826087	0.55
19	0.6845217391304347	0.6
20	0.7085217391304348	0.675
21	0.752695652173913	0.475
22	0.7259130434782608	0.675
23	0.712	0.55
24	0.6998260869565218	0.675
25	0.717913043478261	0.6
26	0.744	0.525
27	0.7012173913043479	0.675
28	0.7092173913043478	0.625
29	0.7259130434782609	0.7
30	0.7099130434782608	0.55
31	0.7165217391304347	0.625
32	0.7099130434782609	0.65
33	0.726608695652174	0.55
34	0.6925217391304347	0.55
35	0.7259130434782608	0.7
36	0.726608695652174	0.525
37	0.760695652173913	0.525
38	0.6984347826086956	0.6
39	0.6838260869565218	0.7
40	0.6911304347826086	0.5
41	0.6918260869565217	0.675
42	0.7099130434782609	0.525
43	0.7346086956521739	0.65
44	0.7026086956521739	0.575
45	0.752	0.525
46	0.7172173913043478	0.7
47	0.6845217391304347	0.625
48	0.6918260869565217	0.7
49	0.7266086956521739	0.525
50	0.752695652173913	0.5
51	0.743304347826087	0.55
52	0.6845217391304347	0.625
53	0.736	0.575
54	0.743304347826087	0.675
55	0.7353043478260869	0.525
56	0.6664347826086956	0.675
57	0.728	0.475
58	0.7012173913043478	0.575
59	0.6925217391304347	0.7
60	0.7085217391304348	0.7
61	0.710608695652174	0.675
62	0.736	0.55
63	0.6845217391304347	0.625
64	0.7012173913043478	0.675
65	0.726608695652174	0.575
66	0.735304347826087	0.7
67	0.7158260869565217	0.475
68	0.717913043478261	0.7
69	0.7179130434782609	0.55
70	0.7012173913043478	0.5
71	0.7526956521739131	0.525
72	0.6758260869565217	0.65
73	0.6991304347826086	0.525
74	0.7005217391304347	0.7
