	Training CV Accuracy	Testing Accuracy
0	0.6939710789766408	0.7
1	0.6859547645532074	0.8
2	0.782276603633667	0.66
3	0.6788283277715981	0.74
4	0.7802373007044865	0.7
5	0.6656952169076751	0.52
6	0.6777085650723025	0.74
7	0.6924063774564331	0.64
8	0.7321913236929923	0.76
9	0.7755951056729699	0.58
10	0.654571746384872	0.52
11	0.6881646273637374	0.48
12	0.671486837226548	0.56
13	0.6788283277715981	0.74
14	0.6523618835743419	0.42
15	0.7319762699295513	0.78
16	0.7664738598442713	0.74
17	0.6930515387467556	0.76
18	0.7882832777159806	0.76
19	0.6337115313311087	0.68
20	0.7882832777159806	0.84
21	0.7686985539488319	0.64
22	0.6788283277715981	0.74
23	0.6848350018539117	0.56
24	0.7755951056729699	0.64
25	0.6663700407860584	0.44
26	0.7893882091212457	0.64
27	0.7882832777159806	0.6
28	0.6932962550982573	0.72
29	0.6536818687430478	0.62
30	0.7542306266221728	0.58
31	0.7809269558769002	0.6
32	0.6799480904708937	0.46
33	0.6872747497219132	0.56
34	0.8027512050426399	0.74
35	0.7611420096403411	0.7
36	0.7048350018539117	0.54
37	0.6817130144605116	0.46
38	0.7722506488691138	0.78
39	0.6592436040044494	0.46
40	0.7944753429736745	0.58
41	0.6788283277715981	0.74
42	0.7117612161661105	0.42
43	0.7671338524286243	0.64
44	0.7664738598442713	0.74
45	0.7680533926585095	0.64
46	0.6788283277715981	0.74
47	0.7484686688913607	0.64
48	0.7746903967371153	0.66
49	0.7079495736002966	0.8
50	0.7822617723396366	0.66
51	0.6715016685205784	0.56
52	0.6799332591768631	0.72
53	0.6788283277715981	0.74
54	0.680808305524657	0.76
55	0.6788283277715981	0.74
56	0.693726362625139	0.48
57	0.765583982202447	0.72
58	0.6825880608083055	0.54
59	0.7820318872821653	0.68
60	0.6788283277715981	0.74
61	0.7878383388950685	0.7
62	0.7618020022246941	0.58
63	0.7008379681127179	0.5
64	0.7669187986651835	0.66
65	0.7664738598442713	0.72
66	0.6476751946607341	0.5
67	0.6788283277715981	0.74
68	0.670826844642195	0.66
69	0.8143047830923248	0.68
70	0.6456507230255839	0.56
71	0.7066444197256211	0.6
72	0.6788283277715981	0.74
73	0.7624619948090471	0.6
74	0.7882832777159806	0.72
75	0.8098183166481275	0.74
76	0.6686095661846496	0.54
77	0.6659251019651464	0.52
78	0.6944011865035224	0.5
79	0.6803930292918057	0.74
80	0.711301446051168	0.66
81	0.773800519095291	0.68
82	0.6788283277715981	0.74
83	0.6930515387467556	0.74
84	0.6657100482017057	0.74
85	0.7319762699295513	0.78
