dataidx,selectedSubsetID,Training CV Accuracy,Testing Accuracy,subidx,subname
20,0,0.7882832777159806,0.84,0,S[1]
1,0,0.6859547645532074,0.8,0,S[1]
49,0,0.7079495736002966,0.8,0,S[1]
15,0,0.7319762699295513,0.78,0,S[1]
38,0,0.7722506488691138,0.78,0,S[1]
85,0,0.7319762699295513,0.78,0,S[1]
90,0,0.7869336299592138,0.78,0,S[1]
92,0,0.7046347793845011,0.78,0,S[1]
96,0,0.7070745272525027,0.78,0,S[1]
8,0,0.7321913236929923,0.76,0,S[1]
17,0,0.6930515387467556,0.76,0,S[1]
18,0,0.7882832777159806,0.76,0,S[1]
54,0,0.680808305524657,0.76,0,S[1]
86,0,0.7722506488691138,0.76,0,S[1]
89,0,0.7722506488691138,0.76,0,S[1]
3,0,0.6788283277715981,0.74,0,S[1]
6,0,0.6777085650723025,0.74,0,S[1]
13,0,0.6788283277715981,0.74,0,S[1]
16,0,0.7664738598442713,0.74,0,S[1]
22,0,0.6788283277715981,0.74,0,S[1]
34,0,0.8027512050426399,0.74,0,S[1]
41,0,0.6788283277715981,0.74,0,S[1]
44,0,0.7664738598442713,0.74,0,S[1]
46,0,0.6788283277715981,0.74,0,S[1]
53,0,0.6788283277715981,0.74,0,S[1]
55,0,0.6788283277715981,0.74,0,S[1]
60,0,0.6788283277715981,0.74,0,S[1]
67,0,0.6788283277715981,0.74,0,S[1]
72,0,0.6788283277715981,0.74,0,S[1]
75,0,0.8098183166481275,0.74,0,S[1]
79,0,0.6803930292918057,0.74,0,S[1]
82,0,0.6788283277715981,0.74,0,S[1]
83,0,0.6930515387467556,0.74,0,S[1]
84,0,0.6657100482017057,0.74,0,S[1]
99,0,0.7722506488691138,0.74,0,S[1]
28,0,0.6932962550982573,0.72,0,S[1]
52,0,0.6799332591768631,0.72,0,S[1]
57,0,0.76558398220244706,0.72,0,S[1]
65,0,0.7664738598442713,0.72,0,S[1]
74,0,0.7882832777159806,0.72,0,S[1]
0,0,0.6939710789766408,0.7,0,S[1]
4,0,0.7802373007044865,0.7,0,S[1]
35,0,0.7611420096403411,0.7,0,S[1]
61,0,0.7878383388950685,0.7,0,S[1]
95,0,0.8027067111605488,0.7,0,S[1]
19,0,0.6337115313311087,0.68,0,S[1]
59,0,0.7820318872821653,0.68,0,S[1]
69,0,0.8143047830923248,0.68,0,S[1]
81,0,0.773800519095291,0.68,0,S[1]
2,0,0.782276603633667,0.66,0,S[1]
48,0,0.7746903967371153,0.66,0,S[1]
50,0,0.7822617723396366,0.66,0,S[1]
64,0,0.7669187986651835,0.66,0,S[1]
68,0,0.670826844642195,0.66,0,S[1]
80,0,0.711301446051168,0.66,0,S[1]
7,0,0.6924063774564331,0.64,0,S[1]
21,0,0.7686985539488319,0.64,0,S[1]
24,0,0.7755951056729699,0.64,0,S[1]
26,0,0.7893882091212457,0.64,0,S[1]
43,0,0.7671338524286243,0.64,0,S[1]
45,0,0.7680533926585095,0.64,0,S[1]
47,0,0.7484686688913607,0.64,0,S[1]
94,0,0.6614831294030404,0.64,0,S[1]
29,14,0.6536818687430478,0.62,14,S[15]
27,0,0.7882832777159806,0.6,0,S[1]
31,0,0.7809269558769002,0.6,0,S[1]
71,4,0.7066444197256211,0.6,4,S[5]
73,0,0.7624619948090471,0.6,0,S[1]
9,0,0.7755951056729699,0.58,0,S[1]
30,0,0.7542306266221728,0.58,0,S[1]
40,0,0.7944753429736745,0.58,0,S[1]
62,0,0.7618020022246941,0.58,0,S[1]
12,1,0.671486837226548,0.56,1,S[2]
23,1,0.6848350018539117,0.56,1,S[2]
33,11,0.6872747497219132,0.56,11,S[12]
51,5,0.6715016685205784,0.56,5,S[6]
70,2,0.6456507230255839,0.56,2,S[3]
93,3,0.6597182054134223,0.56,3,S[4]
36,0,0.7048350018539117,0.54,0,S[1]
58,7,0.6825880608083055,0.54,7,S[8]
76,15,0.6686095661846496,0.54,15,S[16]
88,0,0.6741564701520207,0.54,0,S[1]
5,18,0.6656952169076751,0.52,18,S[19]
10,0,0.654571746384872,0.52,0,S[1]
77,0,0.6659251019651464,0.52,0,S[1]
97,16,0.6668446421950316,0.52,16,S[17]
63,1,0.7008379681127179,0.5,1,S[2]
66,14,0.6476751946607341,0.5,14,S[15]
78,0,0.6944011865035224,0.5,0,S[1]
91,10,0.6334816462736375,0.5,10,S[11]
11,17,0.6881646273637374,0.48,17,S[18]
56,17,0.693726362625139,0.48,17,S[18]
32,14,0.6799480904708937,0.46,14,S[15]
37,4,0.6817130144605116,0.46,4,S[5]
39,4,0.6592436040044494,0.46,4,S[5]
25,15,0.6663700407860584,0.44,15,S[16]
14,11,0.6523618835743419,0.42,11,S[12]
42,4,0.7117612161661105,0.42,4,S[5]
87,17,0.6941861327400816,0.4,17,S[18]
98,14,0.693726362625139,0.38,14,S[15]
