y,ypred
0.0,0.5409653081024061
0.0,0.2918651554171139
1.0,0.41027522500868513
1.0,0.579584911237489
0.0,0.30481417841704217
1.0,0.5057103165944599
1.0,0.45290144201792143
0.0,0.3860148676759595
1.0,0.743450352124282
1.0,0.5280895884364959
0.0,0.55581146663084
0.0,0.2628578281498493
0.0,0.3246638627110762
0.0,0.3870788132490145
0.0,0.2964262747915998
1.0,0.3812913886695858
1.0,0.31004213614043324
1.0,0.5044498765525317
0.0,0.3038002719375717
1.0,0.688300557175658
1.0,0.533245748465277
1.0,0.5213292276608843
1.0,0.33211685343380387
1.0,0.5392949763085212
0.0,0.54382481241818
0.0,0.39002413547924386
0.0,0.375857607133149
1.0,0.3916746194122355
0.0,0.5686303265466681
0.0,0.38684559418199543
1.0,0.5345746867511572
1.0,0.59346358496165
1.0,0.30429087585549763
1.0,0.2486389417685857
0.0,0.5444795085805146
0.0,0.6390642555086288
0.0,0.3585266575529733
1.0,0.6954761759138692
1.0,0.34156868224243714
1.0,0.5229262618803102
