,feat,score
0,A2MP1,0.0010313500534960586
1,AKAP5,0.0022175355835705565
2,AKT1,0.0
3,ALG12,0.0004818484362382313
4,ALOX12,0.001110069643929785
5,ALS2CR12,0.00014005361564809162
6,AMPH,0.0047246781060029264
7,ANAPC15,0.003017661063434209
8,ANXA6,0.0009426453467651878
9,AQP11,0.010830274607574995
10,ARAP1,0.0004207551322654367
11,ARHGAP27,0.0
12,ARHGEF26,0.00042156044540988
13,ATAD5,0.004488484493795994
14,ATG14,0.009621649629661097
15,ATP2C2,0.005407958301142446
16,ATP5H,0.0005299333008667548
17,B9D2,0.0002357507407699506
18,BAD,0.0018371106110458724
19,BCS1L,0.0012879415844563712
20,BMP8A,0.0
21,BSN,0.0
22,BTBD2,0.0
23,C11orf42,0.0
24,C11orf80,0.0008522534026290196
25,C12orf73,0.0
26,C17orf53,0.006491259800176362
27,C19orf68,0.0
28,C1orf146,0.0011905790172999288
29,C2orf88,0.004912276323661283
30,C6orf136,0.0020458126358384437
31,C9orf169,0.0038794586599011902
32,CACNB2,0.0013942348556183757
33,CALB1,0.019859161602871264
34,CAMK1,0.00160240271971643
35,CARD14,0.0008531753291898195
36,CCDC104,0.0005180918089934084
37,CCDC181,0.0020940962321953573
38,CCT6P3,0.0
39,CD160,0.0022511229232395707
40,CD48,0.0034911887273628163
41,CD72,0.0037991432110408173
42,CERS5,0.003093468947640201
43,CFD,0.00215605410403124
44,CLASRP,0.0036255125962516743
45,CLEC2B,0.0031665885331766206
46,CNTRL,0.0008843793577651488
47,COA5,0.005271578264613468
48,COL4A4,0.006480156417629488
49,COQ6,0.0
50,COX20,0.003248251424986956
51,CREB1,0.0008780411538361315
52,CRLF3,0.0
53,CUL4A,0.0
54,DARS2,0.0022311792221357037
55,DCDC2B,0.010398980605303025
56,DCLRE1C,0.0
57,DDX56,0.0
58,DENND4A,0.0
59,DHODH,0.0022645200043124912
60,DNAH1,0.0014477258572214902
61,DNAJC17,0.0010304202354027966
62,DOT1L,0.017078795500757013
63,DPP7,0.0025491515397981428
64,DRG1,0.005227947093958127
65,ECT2L,0.0003181911034682318
66,EFR3B,0.0047657674979963965
67,EGLN1,0.0008931737710666275
68,EML4,0.00121585223731408
69,ENTPD3,0.0
70,ERCC6L,0.0
71,EVA1C,0.0028520669299342983
72,FAM103A1,0.0
73,FAM13A,0.03619504615322302
74,FAM160B2,0.0
75,FAM184B,0.004921609981193135
76,FAM86HP,0.0
77,FAM98B,0.0
78,FAS,0.0010447058026662667
79,FDPS,0.002216396519072064
80,FKBP4,0.0
81,FOCAD,0.0
82,FOXM1,0.0
83,FOXP3,0.002415828184678496
84,FTSJ3,0.0006486893463431901
85,FXR2,0.0
86,GALNS,0.0
87,GALNT10,0.0
88,GINS3,0.011318854154536553
89,GLE1,0.0
90,GNB4,0.0
91,GNPTG,0.003630641507244312
92,GOLGA8H,0.004382372930197345
93,GPM6B,0.0015319511382535544
94,GPR137,0.0015476820024665878
95,GPR155,0.0011430760440840813
96,GPR18,0.000624245307962761
97,GRTP1,0.005354507002883958
98,GSE1,0.0016374164417299858
99,GSTO1,0.0020380157046284266
100,GTF2F1,8.464184226185388e-05
101,GUCY1B2,8.949922900572643e-05
102,GZF1,0.006645763862349257
103,HACL1,0.0033046280098605017
104,HDAC5,0.003954085604291939
105,HECTD1,0.002039392694934498
106,HEXIM1,0.011042981127095945
107,HMBOX1,0.00026145900581020043
108,HSPB9,0.013773924243253481
109,HSPD1,0.0
110,ICMT,0.0
111,INTS4L2,0.005062105904328238
