"","feat","score"
"3258","MTHFD2",0.0477499999999999
"1410","DPY19L2P2",0.0434999999999999
"3154","MIR497HG",0.0422499999999999
"4258","RGL4",0.039
"5783","ZNF213",0.0344999999999999
"3086","METTL12",0.0327499999999999
"4898","SSBP3",0.0307499999999999
"2008","GPT",0.0287499999999999
"3934","PPP1R16A",0.0287499999999999
"5489","UBE2D4",0.0284999999999999
"3325","NAALAD2",0.0277499999999999
"738","CASKIN1",0.0272499999999999
"5704","ZBED4",0.0272499999999999
"998","CISD2",0.0267499999999999
"2406","KCNH3",0.0262499999999999
"5331","TRAF3IP2",0.0262499999999999
"2918","LRRC8B",0.0259999999999999
"1125","CROCCP3",0.0249999999999999
"1695","FARP2",0.0247499999999999
"3316","MYRIP",0.0245
"5087","TEAD2",0.0242499999999999
"4155","RAD9A",0.02375
"1703","FBXL16",0.0237499999999999
"5789","ZNF233",0.0237499999999999
"468","BCL9",0.0227499999999999
"2788","LOC101928943",0.0219999999999999
"5009","SYTL1",0.0219999999999999
"2383","JPH3",0.0214999999999999
"4478","SCN8A",0.0209999999999999
"4002","PROC",0.0207499999999999
"1646","FAM193B",0.0202499999999999
"2719","LOC100996251",0.01975
"4799","SNX22",0.0197499999999999
"5438","TUB",0.0197499999999999
"4596","SIK2",0.0189999999999999
"5411","TSSK3",0.01875
"3432","NIF3L1",0.0187499999999999
"3723","PDZK1",0.0177499999999999
"445","BAP1",0.0177499999999999
"2924","LRRN2",0.0174999999999999
"5603","VPS52",0.0174999999999999
"4794","SNX11",0.0172499999999999
"3472","NOP16",0.0172499999999999
"1787","FNDC9",0.0169999999999999
"2416","KCNT1",0.0169999999999999
"1520","EML5",0.0167499999999999
"2895","LRP2BP",0.01625
"2544","LCAT",0.0155
"3865","PODXL",0.0145
"3735","PEX5L",0.0137499999999999
"499","BORA",0.0135
"3372","NCOR1",0.01325
"1693","FAR2",0.013
"2058","H1FNT",0.01275
"3553","NUTM2G",0.0125
"5764","ZHX3",0.012
"5412","TSSK4",0.012
"3640","PAPSS2",0.01175
"5653","WHSC1L1",0.01175
"4271","RHOF",0.01175
"5350","TRIM17",0.01175
"5790","ZNF24",0.01175
"1277","DDX58",0.0115
"5291","TOMM70A",0.0115
"1017","CLECL1",0.0115
"3823","PLCE1",0.0115
"573","C15orf40",0.011
"3518","NSUN5P2",0.011
"3130","MIR1282",0.011
"2931","LSR",0.01075
"1886","GFM2",0.01075
"926","CEMIP",0.01025
"1062","COA7",0.00999999999999997
"4572","SH3BP5",0.00974999999999995
"5776","ZNF154",0.00874999999999996
"743","CASP8",0.00849999999999997
"4508","SEMA6A",0.00849999999999997
"1776","FMNL2",0.00824999999999996
"3544","NUP188",0.00799999999999997
"539","BYSL",0.00799999999999997
"1490","EIF4ENIF1",0.00799999999999996
"29","ABTB2",0.00774999999999997
"2790","LOC101929010",0.00724999999999996
"4304","RNF167",0.00724999999999996
"2742","LOC101927211",0.00724999999999996
"1399","DOPEY1",0.00674999999999998
"1303","DGKQ",0.00674999999999997
"1816","FUCA2",0.00649999999999997
"3976","PRH2",0.00599999999999997
"3672","PCDH12",0.00574999999999997
"3905","PPAPDC1B",0.00549999999999998
"2690","LOC100506083",0.00524999999999998
"4637","SLC24A1",0.00474999999999997
"5813","ZNF397",0.00449999999999998
"2697","LOC100506469",0.00449999999999998
"4772","SNED1",0.00449999999999998
"2321","IQCC",0.00424999999999998
"5124","THBS4",0.00424999999999998
"3115","MICAL1",0.00424999999999998
"1677","FAM86A",0.00399999999999999
"787","CCDC28B",0.00299999999999997
"5256","TMPRSS6",0.00274999999999997
"1880","GDF9",0.00224999999999999
"2663","LOC100132356",0.00125
"692","CABP7",0.000749999999999997
"1569","ERMAP",0.000749999999999994
"3659","PAXBP1",0.000749999999999993
"1","A1BG",0
"2","A1BG.AS1",0
"3","A2M",0
"4","A2ML1",0
"5","A2MP1",0
"6","AAMDC",0
"7","AAMP",0
"8","AANAT",0
"9","AATF",0
"10","ABCA1",0
"11","ABCA7",0
"12","ABCC6",0
"13","ABCE1",0
"14","ABCF1",0
"15","ABHD1",0
"16","ABHD12",0
"17","ABHD12B",0
"18","ABHD15",0
"19","ABHD16A",0
"20","ABHD16B",0
"21","ABHD2",0
"22","ABHD8",0
"23","ABI1",0
"24","ABI2",0
"25","ABI3",0
"26","ABLIM1",0
"27","ABR",0
"28","ABRACL",0
"30","ACAA1",0
"31","ACAD11",0
"32","ACAD8",0
"33","ACADVL",0
"34","ACAN",0
"35","ACAP1",0
"37","ACAT2",0
"38","ACBD3",0
"39","ACD",0
"40","ACIN1",0
"41","ACKR4",0
"42","ACLY",0
"43","ACMSD",0
"44","ACO1",0
"45","ACO2",0
"46","ACOT13",0
"47","ACOT2",0
"48","ACOT8",0
"49","ACOX1",0
"50","ACP2",0
"51","ACP5",0
"52","ACPT",0
"53","ACSBG1",0
"54","ACSBG2",0
"55","ACSF3",0
"56","ACSL5",0
"57","ACSM3",0
"58","ACSS2",0
"59","ACTA2",0
"60","ACTB",0
"61","ACTG1",0
"62","ACTL10",0
"63","ACTL6A",0
"64","ACTN1",0
"65","ACTN4",0
"66","ACTR1A",0
"67","ACTR2",0
"68","ACTR3",0
"69","ACTR3C",0
"70","ACVR2A",0
"71","ACYP2",0
"72","ADAL",0
"73","ADAM10",0
"74","ADAM17",0
"75","ADAM1A",0
"76","ADAM22",0
"77","ADAM28",0
"78","ADAM8",0
"79","ADAMTS16",0
"80","ADAMTS4",0
"81","ADAMTS8",0
"82","ADAMTSL4",0
"83","ADAMTSL4.AS1",0
"84","ADAMTSL5",0
"85","ADAR",0
"86","ADCK2",0
"87","ADCY3",0
"88","ADCY5",0
"89","ADCY7",0
"90","ADD1",0
"91","ADD3",0
"92","ADD3.AS1",0
"93","ADH6",0
"94","ADIPOR2",0
"95","ADIRF",0
"96","ADNP",0
"97","ADORA2A.AS1",0
"98","ADORA2B",0
"99","ADPGK",0
"100","ADPGK.AS1",0
"101","ADPRM",0
"102","ADRBK1",0
"103","ADRBK2",0
"104","ADSS",0
"105","AEBP1",0
"106","AES",0
"107","AFAP1.AS1",0
"108","AFF4",0
"109","AFG3L2",0
"110","AFTPH",0
"111","AGA",0
"112","AGAP2",0
"113","AGAP2.AS1",0
"114","AGAP3",0
"115","AGAP7",0
"116","AGBL5",0
"117","AGER",0
"118","AGFG2",0
"119","AGK",0
"120","AGMAT",0
"121","AGO1",0
"122","AGO4",0
"123","AGPAT1",0
"124","AGPAT4",0
"125","AGPAT6",0
"126","AGTPBP1",0
"127","AGTRAP",0
"128","AHDC1",0
"129","AHNAK",0
"130","AHNAK2",0
"131","AHR",0
"132","AHSA2",0
"133","AIDA",0
"134","AIF1",0
"135","AIM1",0
"136","AIM1L",0
"137","AIMP1",0
"138","AIMP2",0
"139","AIRE",0
"140","AK2",0
"141","AK8",0
"142","AKAP13",0
"143","AKAP5",0
"144","AKAP7",0
"145","AKAP8",0
"146","AKAP8L",0
"147","AKAP9",0
"148","AKIRIN1",0
"149","AKIRIN2",0
"150","AKNA",0
"151","AKR1C2",0
"152","AKR7A2P1",0
"153","AKT1",0
"154","AKT1S1",0
"155","AKT3",0
"156","AKTIP",0
"157","ALAS2",0
"158","ALDH16A1",0
"159","ALDH1A3",0
"160","ALDH6A1",0
"161","ALDH9A1",0
"162","ALDOA",0
"163","ALG1",0
"164","ALG12",0
"165","ALG1L",0
"166","ALG1L2",0
"167","ALG1L9P",0
"168","ALKBH3.AS1",0
"169","ALKBH4",0
"170","ALKBH5",0
"171","ALOX12",0
"172","ALOX12B",0
"173","ALOX12P2",0
"174","ALPK2",0
"175","ALS2CR11",0
"176","ALS2CR12",0
"177","ALX3",0
"178","AMD1",0
"179","AMDHD2",0
"180","AMICA1",0
"181","AMIGO1",0
"182","AMIGO2",0
"183","AMIGO3",0
"184","AMMECR1",0
"185","AMN1",0
"186","AMOTL1",0
"187","AMPD2",0
"188","AMPD3",0
"189","AMPH",0
"190","AMT",0
"191","ANAPC10",0
"192","ANAPC11",0
"193","ANAPC13",0
"194","ANAPC15",0
"195","ANAPC1P1",0
"196","ANGPT2",0
"197","ANGPT4",0
"198","ANGPTL1",0
"199","ANGPTL4",0
"200","ANGPTL6",0
"201","ANK3",0
"202","ANKDD1A",0
"203","ANKFY1",0
"204","ANKH",0
"205","ANKRD10",0
"206","ANKRD11",0
"207","ANKRD12",0
"208","ANKRD13A",0
"209","ANKRD19P",0
"210","ANKRD23",0
"211","ANKRD28",0
"212","ANKRD34A",0
"213","ANKRD36BP1",0
"214","ANKRD37",0
"215","ANKRD42",0
"216","ANKRD53",0
"217","ANKRD55",0
"218","ANKRD6",0
"219","ANKRD61",0
"220","ANKS1B",0
"221","ANKS3",0
"222","ANKZF1",0
"223","ANO6",0
"224","ANO8",0
"225","ANO9",0
"226","ANP32A",0
"227","ANP32B",0
"228","ANP32C",0
"229","ANP32E",0
"230","ANPEP",0
"231","ANTXR2",0
"232","ANXA1",0
"233","ANXA4",0
"234","ANXA5",0
"235","ANXA6",0
"236","ANXA9",0
"237","AOAH",0
"238","AP1AR",0
"239","AP1G1",0
"240","AP1G2",0
"241","AP1M1",0
"242","AP1S2",0
"243","AP2A1",0
"244","AP2B1",0
"245","AP3B1",0
"246","AP3D1",0
"247","AP3M1",0
"248","AP4B1.AS1",0
"249","AP4M1",0
"250","APBB1IP",0
"251","APBB3",0
"252","APC2",0
"253","APEX1",0
"254","APH1A",0
"255","API5",0
"256","APLP2",0
"257","APMAP",0
"258","APOA2",0
"259","APOBEC2",0
"260","APOBEC3B.AS1",0
"261","APOBR",0
"262","APOL1",0
"263","APOL2",0
"264","APOL3",0
"265","APOL6",0
"266","APOM",0
"267","APP",0
"268","APPL1",0
"269","APPL2",0
"270","APTR",0
"271","AQP11",0
"272","ARAF",0
"273","ARAP1",0
"274","ARAP2",0
"275","ARCN1",0
"276","ARF1",0
"277","ARF3",0
"278","ARF4",0
"279","ARF6",0
"280","ARFGAP2",0
"281","ARFGEF1",0
"282","ARG1",0
"283","ARG2",0
"284","ARGFXP2",0
"285","ARGLU1",0
"286","ARHGAP1",0
"287","ARHGAP26",0
"288","ARHGAP27",0
"289","ARHGAP30",0
"290","ARHGAP31",0
"291","ARHGAP4",0
"292","ARHGAP44",0
"293","ARHGAP9",0
"294","ARHGDIA",0
"295","ARHGDIB",0
"296","ARHGEF1",0
"297","ARHGEF18",0
"298","ARHGEF2",0
"299","ARHGEF26",0
"300","ARHGEF3",0
"301","ARHGEF33",0
"302","ARHGEF39",0
"303","ARHGEF4",0
"304","ARHGEF40",0
"305","ARHGEF6",0
"306","ARID1A",0
"307","ARID4A",0
"308","ARID4B",0
"309","ARID5B",0
"310","ARIH1",0
"311","ARIH2",0
"312","ARIH2OS",0
"313","ARL13A",0
"314","ARL13B",0
"315","ARL17A",0
"316","ARL3",0
"317","ARL4C",0
"318","ARL6IP4",0
"319","ARL6IP5",0
"320","ARL6IP6",0
"321","ARMC10",0
"322","ARMC2.AS1",0
"323","ARMC5",0
"324","ARMC6",0
"325","ARMC7",0
"326","ARNT",0
"327","ARNTL",0
"328","ARNTL2.AS1",0
"329","ARPC1B",0
"330","ARPC2",0
"332","ARPC4",0
"333","ARPC5",0
"334","ARR3",0
"335","ARRB1",0
"336","ARRB2",0
"337","ARRDC1",0
"338","ARRDC3.AS1",0
"339","ARSB",0
"340","ARVCF",0
"341","ASAH1",0
"342","ASAP1",0
"343","ASAP2",0
"344","ASB14",0
"345","ASB16",0
"346","ASB6",0
"347","ASB7",0
"348","ASB8",0
"349","ASCC1",0
"350","ASCC2",0
"351","ASF1A",0
"352","ASGR2",0
"353","ASH1L",0
"354","ASH1L.AS1",0
"355","ASIC3",0
"356","ASPDH",0
"357","ASPHD2",0
"358","ASTE1",0
"359","ATAD2B",0
"360","ATAD5",0
"361","ATF4",0
"362","ATF5",0
"363","ATF7IP",0
"364","ATG12",0
"365","ATG13",0
"366","ATG14",0
"367","ATG16L2",0
"368","ATG3",0
"369","ATG4D",0
"370","ATG7",0
"371","ATG9B",0
"372","ATHL1",0
"373","ATL1",0
"374","ATM",0
"375","ATN1",0
"376","ATP10A",0
"377","ATP11A.AS1",0
"378","ATP11B",0
"379","ATP1A1",0
"380","ATP1A1.AS1",0
"381","ATP1B1",0
"382","ATP2A1",0
"383","ATP2B1",0
"384","ATP2B4",0
"385","ATP2C1",0
"386","ATP2C2",0
"387","ATP5A1",0
"388","ATP5F1",0
"389","ATP5H",0
"390","ATP5J",0
"391","ATP5S",0
"392","ATP5SL",0
"393","ATP6AP2",0
"394","ATP6V0E2",0
"395","ATP6V0E2.AS1",0
"396","ATP6V1B2",0
"397","ATP6V1C2",0
"398","ATP8B1",0
"399","ATP8B2",0
"400","ATPIF1",0
"401","ATRAID",0
"402","ATRIP",0
"403","ATRX",0
"404","ATXN1",0
"405","ATXN1L",0
"406","ATXN2L",0
"407","ATXN7",0
"408","ATXN7L3",0
"409","ATXN7L3B",0
"410","AUNIP",0
"411","AUP1",0
"412","AVIL",0
"413","AVPR2",0
"414","AXIN1",0
"415","AZI2",0
"416","AZIN1",0
"417","B2M",0
"418","B3GALNT2",0
"419","B3GAT2",0
"420","B3GNT5",0
"421","B3GNT8",0
"422","B3GNT9",0
"423","B3GNTL1",0
"424","B4GALT1",0
"425","B4GALT1.AS1",0
"426","B4GALT3",0
"427","B4GALT5",0
"428","B4GALT7",0
"429","B9D1",0
"430","B9D2",0
"431","BACE1",0
"432","BACE1.AS",0
"433","BACH1",0
"434","BAD",0
"435","BAG4",0
"436","BAG6",0
"437","BAHD1",0
"438","BAIAP2",0
"439","BAIAP2.AS1",0
"440","BAIAP2L1",0
"441","BAIAP2L2",0
"442","BAIAP3",0
"443","BANF1",0
"444","BANK1",0
"446","BASP1",0
"447","BAX",0
"448","BAZ1A",0
"449","BAZ1B",0
"450","BAZ2A",0
"451","BAZ2B",0
"452","BBIP1",0
"453","BBS1",0
"454","BBS4",0
"455","BBX",0
"456","BCAR3",0
"457","BCCIP",0
"458","BCDIN3D",0
"459","BCDIN3D.AS1",0
"460","BCKDHA",0
"461","BCL10",0
"462","BCL11B",0
"463","BCL2",0
"464","BCL2L11",0
"465","BCL2L12",0
"466","BCL2L13",0
"467","BCL7C",0
"469","BCL9L",0
"470","BCLAF1",0
"471","BCORL1",0
"472","BCS1L",0
"473","BDNF",0
"474","BDP1",0
"475","BEAN1",0
"476","BEND3P3",0
"477","BEST1",0
"478","BHLHE40",0
"479","BHLHE40.AS1",0
"480","BHLHE41",0
"481","BID",0
"482","BIN1",0
"483","BIN2",0
"484","BIRC3",0
"485","BIRC6",0
"486","BLK",0
"487","BLOC1S6",0
"488","BMP2K",0
"489","BMP6",0
"490","BMP8A",0
"491","BMP8B",0
"492","BNIP2",0
"493","BNIP3",0
"494","BOC",0
"495","BOD1L1",0
"496","BOK",0
"497","BOLA3.AS1",0
"498","BOP1",0
"500","BPTF",0
"501","BRAT1",0
"502","BRD2",0
"503","BRD3",0
"504","BRD4",0
"505","BRD7",0
"506","BRD7P3",0
"507","BRE",0
"508","BRE.AS1",0
"509","BRF1",0
"510","BRI3",0
"511","BRICD5",0
"512","BRIX1",0
"513","BRK1",0
"514","BRMS1",0
"515","BROX",0
"516","BRSK1",0
"517","BRSK2",0
"518","BRWD1",0
"519","BRWD3",0
"520","BSG",0
"521","BSN",0
"522","BTAF1",0
"523","BTBD1",0
"524","BTBD10",0
"525","BTBD11",0
"526","BTBD18",0
"527","BTBD2",0
"528","BTBD9",0
"529","BTD",0
"530","BTF3",0
"531","BTG1",0
"532","BTG2",0
"533","BTK",0
"534","BTN2A1",0
"535","BTN3A1",0
"536","BTN3A2",0
"537","BTN3A3",0
"538","BUD31",0
"540","BZRAP1",0
"541","BZRAP1.AS1",0
"542","C10orf10",0
"543","C10orf105",0
"544","C10orf111",0
"545","C10orf118",0
"546","C10orf25",0
"547","C10orf54",0
"548","C10orf55",0
"549","C10orf95",0
"550","C11orf21",0
"551","C11orf35",0
"552","C11orf42",0
"553","C11orf48",0
"554","C11orf49",0
"555","C11orf54",0
"556","C11orf57",0
"557","C11orf58",0
"558","C11orf80",0
"559","C11orf83",0
"560","C12orf10",0
"561","C12orf29",0
"562","C12orf57",0
"563","C12orf65",0
"564","C12orf71",0
"565","C12orf73",0
"566","C12orf76",0
"567","C14orf164",0
"568","C14orf178",0
