"","feat","score"
"569","C14orf182",0
"570","C14orf79",0
"571","C15orf27",0
"572","C15orf37",0
"574","C15orf57",0
"575","C15orf61",0
"576","C15orf62",0
"577","C16orf3",0
"578","C16orf45",0
"579","C16orf54",0
"580","C16orf58",0
"581","C16orf62",0
"582","C16orf70",0
"583","C16orf71",0
"584","C16orf72",0
"585","C16orf86",0
"586","C16orf93",0
"587","C16orf98",0
"588","C17orf100",0
"589","C17orf103",0
"590","C17orf104",0
"591","C17orf107",0
"592","C17orf50",0
"593","C17orf53",0
"594","C17orf58",0
"595","C17orf59",0
"596","C17orf62",0
"597","C17orf67",0
"598","C17orf70",0
"599","C17orf77",0
"600","C17orf80",0
"601","C17orf97",0
"602","C18orf8",0
"603","C19orf10",0
"604","C19orf35",0
"605","C19orf44",0
"606","C19orf66",0
"607","C19orf68",0
"608","C19orf70",0
"609","C19orf71",0
"610","C19orf73",0
"611","C19orf83",0
"612","C19orf84",0
"613","C1QBP",0
"614","C1QL3",0
"615","C1RL",0
"616","C1RL.AS1",0
"617","C1orf100",0
"618","C1orf112",0
"619","C1orf122",0
"620","C1orf123",0
"621","C1orf145",0
"622","C1orf146",0
"623","C1orf167",0
"624","C1orf192",0
"625","C1orf200",0
"626","C1orf204",0
"627","C1orf228",0
"628","C1orf56",0
"629","C1orf85",0
"630","C1orf86",0
"631","C2",0
"632","C20orf144",0
"633","C21orf140",0
"634","C21orf2",0
"635","C21orf33",0
"636","C21orf62",0
"637","C21orf67",0
"638","C22orf15",0
"639","C22orf23",0
"640","C22orf24",0
"641","C22orf39",0
"642","C22orf46",0
"643","C2CD4D",0
"644","C2CD5",0
"645","C2orf16",0
"646","C2orf49",0
"647","C2orf81",0
"648","C2orf88",0
"649","C3orf17",0
"650","C3orf18",0
"651","C3orf49",0
"652","C3orf52",0
"653","C4orf19",0
"654","C4orf3",0
"655","C4orf46",0
"656","C5",0
"657","C5orf34",0
"658","C5orf45",0
"659","C5orf56",0
"660","C5orf58",0
"661","C5orf66",0
"662","C6orf106",0
"663","C6orf120",0
"664","C6orf136",0
"665","C6orf201",0
"666","C6orf25",0
"667","C6orf62",0
"668","C6orf89",0
"669","C7orf43",0
"670","C7orf49",0
"671","C8G",0
"672","C8orf59",0
"673","C8orf82",0
"674","C9orf114",0
"675","C9orf117",0
"676","C9orf131",0
"677","C9orf139",0
"678","C9orf16",0
"679","C9orf163",0
"680","C9orf169",0
"681","C9orf173",0
"682","C9orf37",0
"683","C9orf66",0
"684","C9orf78",0
"685","C9orf84",0
"686","C9orf96",0
"687","CA11",0
"688","CA14",0
"689","CA6",0
"690","CAB39",0
"691","CABLES1",0
"693","CABYR",0
"694","CACFD1",0
"695","CACNA1C",0
"696","CACNA1F",0
"697","CACNA1H",0
"698","CACNA2D2",0
"699","CACNA2D4",0
"700","CACNB2",0
"701","CACTIN",0
"702","CACTIN.AS1",0
"703","CACYBP",0
"704","CADM4",0
"705","CALB1",0
"706","CALCOCO1",0
"707","CALCOCO2",0
"708","CALHM2",0
"709","CALM1",0
"710","CALM2",0
"711","CALM3",0
"712","CALML4",0
"713","CALR",0
"714","CAMK1",0
"715","CAMK2G",0
"716","CAMKK2",0
"717","CAMTA2",0
"718","CAND2",0
"719","CANX",0
"720","CAP1",0
"721","CAPN1",0
"722","CAPN12",0
"723","CAPN2",0
"724","CAPN7",0
"725","CAPS",0
"726","CAPZA1",0
"727","CAPZB",0
"728","CARD11",0
"729","CARD14",0
"730","CARD8",0
"731","CARHSP1",0
"732","CARKD",0
"733","CARM1",0
"734","CARNS1",0
"735","CARS2",0
"736","CASC1",0
"737","CASC3",0
"739","CASKIN2",0
"740","CASP1",0
"741","CASP4",0
"742","CASP6",0
"744","CASP8AP2",0
"745","CASQ1",0
"746","CAST",0
"747","CATIP",0
"748","CATIP.AS1",0
"749","CBFB",0
"750","CBL",0
"751","CBLL1",0
"752","CBR3",0
"753","CBR3.AS1",0
"754","CBX1",0
"755","CBX3",0
"756","CBX4",0
"757","CBY1",0
"758","CBY3",0
"759","CC2D1B",0
"760","CC2D2A",0
"761","CC2D2B",0
"762","CCAR1",0
"763","CCAR2",0
"764","CCDC101",0
"765","CCDC104",0
"766","CCDC107",0
"767","CCDC109B",0
"768","CCDC115",0
"769","CCDC117",0
"770","CCDC12",0
"771","CCDC122",0
"772","CCDC13",0
"773","CCDC137",0
"774","CCDC142",0
"775","CCDC152",0
"776","CCDC154",0
"777","CCDC157",0
"778","CCDC167",0
"779","CCDC175",0
"780","CCDC176",0
"781","CCDC18",0
"782","CCDC181",0
"783","CCDC183",0
"784","CCDC183.AS1",0
"785","CCDC22",0
"786","CCDC23",0
"788","CCDC37",0
"789","CCDC38",0
"790","CCDC39",0
"791","CCDC42B",0
"792","CCDC47",0
"793","CCDC57",0
"794","CCDC59",0
"795","CCDC65",0
"796","CCDC66",0
"797","CCDC69",0
"798","CCDC7",0
"799","CCDC73",0
"800","CCDC77",0
"801","CCDC78",0
"802","CCDC82",0
"803","CCDC84",0
"804","CCDC85C",0
"805","CCDC86",0
"806","CCDC88A",0
"807","CCDC88B",0
"808","CCDC88C",0
"809","CCDC90B",0
"810","CCDC97",0
"811","CCL27",0
"812","CCL3",0
"813","CCM2",0
"814","CCNA2",0
"815","CCNB2",0
"816","CCNC",0
"817","CCND1",0
"818","CCND3",0
"819","CCNDBP1",0
"820","CCNE2",0
"821","CCNF",0
"822","CCNG1",0
"823","CCNH",0
"824","CCNI",0
"825","CCNI2",0
"826","CCNJ",0
"827","CCNK",0
"828","CCNL1",0
"829","CCNT2",0
"830","CCNY",0
"831","CCR10",0
"832","CCR2",0
"833","CCR7",0
"834","CCR9",0
"835","CCRN4L",0
"836","CCSAP",0
"837","CCT5",0
"838","CCT6A",0
"839","CCT6P1",0
"840","CCT6P3",0
"841","CCT7",0
"842","CCT8",0
"843","CD101",0
"844","CD14",0
"845","CD160",0
"846","CD163",0
"847","CD164",0
"848","CD244",0
"849","CD247",0
"850","CD27",0
"851","CD27.AS1",0
"852","CD28",0
"853","CD2BP2",0
"854","CD300A",0
"855","CD300E",0
"856","CD300LB",0
"857","CD37",0
"858","CD3E",0
"859","CD3EAP",0
"860","CD44",0
"861","CD46",0
"862","CD47",0
"863","CD48",0
"864","CD5",0
"865","CD52",0
"866","CD53",0
"867","CD6",0
"868","CD63",0
"869","CD68",0
"870","CD72",0
"871","CD74",0
"872","CD79A",0
"873","CD81.AS1",0
"874","CD8A",0
"875","CD8B",0
"876","CD93",0
"877","CD97",0
"878","CDAN1",0
"879","CDC123",0
"880","CDC16",0
"881","CDC25B",0
"882","CDC25C",0
"883","CDC37",0
"884","CDC37L1",0
"885","CDC40",0
"886","CDC42",0
"887","CDC42BPB",0
"888","CDC42EP3",0
"889","CDC42SE1",0
"890","CDC42SE2",0
"891","CDC5L",0
"892","CDH13",0
"893","CDH20",0
"894","CDH23",0
"895","CDH4",0
"896","CDHR2",0
"897","CDHR5",0
"898","CDIP1",0
"899","CDK10",0
"900","CDK11B",0
"901","CDK12",0
"902","CDK13",0
"903","CDK17",0
"904","CDK2AP1",0
"905","CDK4",0
"906","CDK5RAP3",0
"907","CDK6",0
"908","CDK7",0
"909","CDKL1",0
"910","CDKN1B",0
"911","CDKN2C",0
"912","CDRT15",0
"913","CDRT15P1",0
"914","CDT1",0
"915","CDV3",0
"916","CEACAM1",0
"917","CEBPB",0
"918","CEBPD",0
"919","CEBPZ",0
"920","CEBPZOS",0
"921","CECR1",0
"922","CELA2B",0
"923","CELF2",0
"924","CELF3",0
"925","CELSR1",0
"927","CEMP1",0
"928","CEND1",0
"929","CENPB",0
"930","CENPBD1",0
"931","CENPN",0
"932","CENPO",0
"933","CENPP",0
"934","CENPT",0
"935","CENPU",0
"936","CENPV",0
"937","CEP170",0
"938","CEP19",0
"939","CEP250",0
"940","CEP290",0
"941","CEP57",0
"942","CEP63",0
"943","CEP68",0
"944","CEP83",0
"945","CEP85",0
"946","CEP85L",0
"947","CEP95",0
"948","CEPT1",0
"949","CERK",0
"950","CERKL",0
"951","CERS2",0
"952","CERS5",0
"953","CERS6.AS1",0
"954","CETP",0
"955","CFB",0
"956","CFD",0
"957","CFDP1",0
"958","CFL1",0
"959","CFLAR",0
"960","CFLAR.AS1",0
"961","CFP",0
"962","CGGBP1",0
"963","CGREF1",0
"964","CHAC2",0
"965","CHAD",0
"966","CHADL",0
"967","CHD1",0
"968","CHD2",0
"969","CHD3",0
"970","CHD4",0
"971","CHD6",0
"972","CHD7",0
"973","CHD8",0
"974","CHEK1",0
"975","CHERP",0
"976","CHKA",0
"977","CHMP1B",0
"978","CHMP2A",0
"979","CHMP4A",0
"980","CHN2",0
"981","CHORDC1",0
"982","CHPF2",0
"983","CHRM5",0
"984","CHRNB1",0
"985","CHRNB2",0
"986","CHRNE",0
"987","CHRNG",0
"988","CHST11",0
"989","CHST15",0
"990","CHTOP",0
"991","CIAO1",0
"992","CIB1",0
"993","CIDEB",0
"994","CIPC",0
"995","CIR1",0
"996","CIRBP",0
"997","CIRBP.AS1",0
"999","CISD3",0
"1000","CIZ1",0
"1001","CKMT2",0
"1002","CLASRP",0
"1003","CLCC1",0
"1004","CLCN2",0
"1005","CLCN3",0
"1006","CLDN20",0
"1007","CLDN22",0
"1008","CLDN7",0
"1009","CLDND2",0
"1010","CLEC12A",0
"1011","CLEC17A",0
"1012","CLEC1B",0
"1013","CLEC2B",0
"1014","CLEC2D",0
"1015","CLEC4E",0
"1016","CLEC7A",0
"1018","CLHC1",0
"1019","CLIC1",0
"1020","CLIP3",0
"1021","CLK1",0
"1022","CLK3",0
"1023","CLMN",0
"1024","CLMP",0
"1025","CLN5",0
"1026","CLN8",0
"1027","CLNS1A",0
"1028","CLOCK",0
"1029","CLPP",0
"1030","CLPTM1",0
"1031","CLSTN1",0
"1032","CLTC",0
"1033","CLU",0
"1034","CLUAP1",0
"1035","CLUH",0
"1036","CLVS1",0
"1037","CMPK1",0
"1038","CMPK2",0
"1039","CMTM4",0
"1040","CMTM6",0
"1041","CMTR1",0
"1042","CNBP",0
"1043","CNKSR2",0
"1044","CNNM3",0
"1045","CNNM4",0
"1046","CNOT1",0
"1047","CNOT11",0
"1048","CNOT2",0
"1049","CNOT3",0
"1050","CNOT7",0
"1051","CNP",0
"1052","CNPPD1",0
"1053","CNPY2",0
"1054","CNPY3",0
"1055","CNPY4",0
"1056","CNTD1",0
"1057","CNTNAP1",0
"1058","CNTRL",0
"1059","COA1",0
"1060","COA5",0
"1061","COA6",0
"1063","COCH",0
"1064","COG1",0
"1065","COG5",0
"1066","COG7",0
"1067","COG8",0
"1068","COL10A1",0
"1069","COL18A1",0
"1070","COL4A3",0
"1071","COL4A3BP",0
"1072","COL4A4",0
"1073","COL9A3",0
"1074","COMMD10",0
"1075","COMT",0
"1076","COPA",0
"1077","COPB2",0
"1078","COPG2",0
"1079","COPS3",0
"1080","COPS4",0
"1081","COPZ1",0
"1082","COQ4",0
"1083","COQ6",0
"1084","CORIN",0
"1085","CORO1A",0
"1086","CORO1B",0
"1087","CORO1C",0
"1088","COTL1",0
"1089","COX10",0
"1090","COX15",0
"1091","COX20",0
"1092","COX7A1",0
"1093","CP",0
"1094","CPED1",0
"1095","CPNE2",0
"1096","CPNE5",0
"1097","CPSF1",0
"1098","CPSF2",0
"1099","CPSF3",0
"1100","CPSF3L",0
"1101","CPSF4",0
