"","feat","score"
"100","GSTO1",0.00216328822710109
"152","MRS2",0.00215934155744444
"199","RNF224",0.00215502105627036
"51","COX20",0.00212460372567614
"268","ZNF546",0.0021154834091726
"16","ATP2C2",0.0021114182187472
"104","HACL1",0.0020887236046891
"132","LOC102723885",0.00207034246136448
"191","RAD17",0.00205292788578734
"50","COQ6",0.00202223093205208
"240","TMEM263",0.00196360658349664
"269","ZNF552",0.00195483236367303
"23","BTBD2",0.0019477541011336
"79","FAS",0.00192055893434522
"179","PPARA",0.00186810533111823
"24","C11orf42",0.0018674098835495
"170","PCGF3",0.00182775055777971
"216","SLC13A4",0.00182135685980219
"146","MIR3661",0.00181709800815296
"18","B9D2",0.00180882781954655
"153","MSL1",0.00174109257160504
"121","LGALS8",0.00172238699464164
"271","ZNF646",0.00171586206729736
"5","ALOX12",0.00170832251322313
"129","LOC101928063",0.00170690211999219
"235","TMEM131",0.00170574591440997
"220","SNRPD2",0.00170027075459358
"198","RNF149",0.00168459722317709
"137","LRRC37A2",0.00167936275300008
"238","TMEM221",0.00166213247019868
"160","NFYC",0.00165205069169974
"81","FKBP4",0.00162511548568609
"21","BMP8A",0.00161512425078133
"134","LOC646471",0.00161236989931676
"144","MEGF11",0.00160281253522953
"173","PDHX",0.0015938734537004
"261","WIPI1",0.00158128431519913
"228","TAF3",0.00157972800742496
"176","PLEKHB1",0.00157489334276931
"22","BSN",0.00154867621461931
"1","A2MP1",0.00154187090128343
"264","ZNF37BP",0.00153157960087157
"278","ZNHIT3",0.00153062566771868
"4","ALG12",0.00152807815112746
"236","TMEM139",0.00152484962676171
"253","UBTF",0.00142899976640867
"110","HSPD1",0.0014247200629256
"241","TMPRSS9",0.00139526080590937
"30","C2orf88",0.00139313370476235
"257","UTP20",0.00135375288959537
"11","ARAP1",0.00133062412698413
"175","PIGZ",0.00129139388875425
"248","TTPAL",0.00126644065438898
"95","GPR137",0.00121938510202233
"195","REV3L",0.00121552293271992
"182","PPWD1",0.00119393816813751
"108","HMBOX1",0.00118943387376681
"73","FAM103A1",0.00118527002608223
"139","LYG2",0.0011842122873978
"148","MLLT10P1",0.00117607918509342
"140","MARCH1",0.00117259547715635
"68","EGLN1",0.00114186448658191
"188","PSMD7",0.00113798888500362
"72","EVA1C",0.00113043592680464
"231","TFIP11",0.00112084805236337
"64","DPP7",0.00111507449106371
"172","PDE6C",0.00105647328919931
"57","DCLRE1C",0.00101405661741563
"31","C6orf136",0.000992484016960921
"94","GPM6B",0.000988502434660438
"213","SIGLEC16",0.000978638263438228
"128","LOC101927901",0.000965947529803163
"28","C19orf68",0.000954106316374888
"83","FOXM1",0.000888838343712576
"44","CFD",0.000862218273324356
"111","ICMT",0.000857331536067706
"209","SBF1",0.000850980074231637
"88","GALNT10",0.00084910602960292
"239","TMEM259",0.000840503006207546
"208","SAFB",0.000823118732350966
"227","TACC1",0.00081073328971582
"120","LENG9",0.000803538058753192
"184","PROX2",0.000790600591033566
"143","MCTP1",0.000646364918935129
"263","ZFP69",0.000557824038036974
"194","REEP5",0.000541443672178936
"66","ECT2L",0.000500172410226871
"214","SKIV2L",0.000406365136136114
"85","FTSJ3",0.000387738907744905
"131","LOC102723809",0.000387150221929735
"113","ITIH2",0.000367055069372648
"90","GLE1",0.000226422917166382
"77","FAM86HP",0.000219847479968225
"78","FAM98B",0.000166920397274597
"12","ARHGAP27",0.000130095347868101
"20","BCS1L",0
"32","C9orf169",0
"37","CCDC104",0
"70","ENTPD3",0
"215","SLAMF1",0
"219","SLC48A1",0
