ypred,y
0.04183316230773926,1
0.13469809293746948,0
0.95535958558321,1
0.8056702315807343,1
0.9442946016788483,1
0.9515142291784286,1
0.006546616554260254,0
0.10585051774978638,0
0.08329421281814575,0
0.6961660087108612,1
0.950491551309824,0
0.9835469778627157,1
0.9477019347250462,0
0.34580671787261963,1
0.7069985866546631,1
0.09946399927139282,0
0.4849280118942261,0
0.9662390649318695,0
0.04013484716415405,1
0.5911133289337158,1
0.28967922925949097,1
0.9867545617744327,1
0.061235904693603516,1
0.6215602159500122,0
0.9611045271158218,1
0.3298525810241699,1
0.12769055366516113,0
0.8428105562925339,0
0.9899276867508888,1
0.0026393532752990723,0
0.9549118690192699,0
0.5709230005741119,1
0.10071659088134766,0
0.9678342267870903,0
0.024875164031982422,1
0.9591291211545467,0
0.9376445338129997,1
0.29822713136672974,0
0.27291661500930786,1
0.8697748482227325,0
