	Training CV Accuracy	Testing Accuracy
0	0.7012173913043478	0.55
1	0.7259130434782607	0.575
2	0.7099130434782608	0.65
3	0.7179130434782609	0.65
4	0.728	0.725
5	0.6831304347826087	0.675
6	0.6838260869565217	0.675
7	0.6751304347826087	0.625
8	0.7099130434782609	0.6
9	0.6904347826086956	0.7
10	0.7099130434782608	0.6
11	0.7179130434782609	0.675
12	0.7346086956521738	0.55
13	0.7099130434782608	0.65
14	0.728	0.625
15	0.7193043478260869	0.625
16	0.7179130434782609	0.7
17	0.6838260869565216	0.65
18	0.6657391304347826	0.65
19	0.6932173913043478	0.675
20	0.7092173913043478	0.625
21	0.7005217391304347	0.625
22	0.727304347826087	0.675
23	0.6911304347826087	0.725
24	0.7099130434782609	0.575
25	0.7085217391304347	0.65
26	0.6845217391304347	0.65
27	0.7085217391304348	0.675
28	0.6925217391304349	0.525
29	0.6911304347826087	0.65
30	0.6838260869565217	0.725
31	0.7005217391304348	0.675
32	0.7012173913043478	0.575
