	Training CV Accuracy	Testing Accuracy
0	0.6401186503522432	0.4
1	0.6677048572487949	0.54
2	0.6341119762699294	0.48
3	0.6610381905821283	0.56
4	0.6274453096032628	0.48
5	0.6808379681127178	0.46
6	0.6795179829440119	0.58
7	0.6608083055246571	0.7
8	0.6677048572487949	0.44
9	0.5994289951798294	0.56
10	0.6795179829440119	0.44
11	0.6341268075639599	0.46
12	0.6483648498331479	0.42
13	0.652332220986281	0.54
14	0.6795179829440119	0.5
15	0.6599332591768633	0.5
16	0.6808231368186874	0.5
17	0.6808379681127178	0.56
18	0.6063255469039673	0.64
19	0.652332220986281	0.32
20	0.6472450871338523	0.42
21	0.6795179829440119	0.46
22	0.6274453096032628	0.54
23	0.6552465702632555	0.44
24	0.6817130144605116	0.44
25	0.6594586577678903	0.56
26	0.6545865776789025	0.6
27	0.6545865776789025	0.5
28	0.6521171672228402	0.54
29	0.6325472747497219	0.5
30	0.6274453096032628	0.44
31	0.6074304783092325	0.54
32	0.6468001483129403	0.44
33	0.6274453096032628	0.58
